  Index  name               key               s        l        spin.x          spin.y          spin.z
    119  QC1RPE575          Sad_Mult             0.580   0.010    0.0012053424    0.0411975098    0.9991502952
    120  ESRE580            Marker               0.580   0.000    0.0012053424    0.0411975098    0.9991502952
    121  QC1RPE585          Sad_Mult             0.590   0.010    0.0012307602    0.0403744702    0.9991838607
    122  ESRE590            Marker               0.590   0.000    0.0012307602    0.0403744702    0.9991838607
    123  QC1RPE595          Sad_Mult             0.600   0.010    0.0012542323    0.0392095795    0.9992302216
    124  ESRE600            Marker               0.600   0.000    0.0012542323    0.0392095795    0.9992302216
    125  QC1RPE601          Sad_Mult             0.600   0.000    0.0012538344    0.0392095881    0.9992302218
    126  QC1RE605           Sad_Mult             0.610   0.010    0.0012767696    0.0376259471    0.9992910777
    127  QC1RPE609          Sad_Mult             0.610   0.000    0.0012763614    0.0376259559    0.9992910779
    128  ESRE610            Marker               0.610   0.000    0.0012763614    0.0376259559    0.9992910779
    129  QC1RPE611          Sad_Mult             0.610   0.000    0.0012758736    0.0376259655    0.9992910781
    130  QC1RE615           Sad_Mult             0.620   0.010    0.0012969458    0.0355318364    0.9993677034
    131  QC1RPE619          Sad_Mult             0.620   0.000    0.0012964464    0.0355318461    0.9993677037
    132  ESRE620            Marker               0.620   0.000    0.0012964464    0.0355318461    0.9993677037
    133  QC1RPE621          Sad_Mult             0.620   0.000    0.0012958785    0.0355318569    0.9993677040
    134  QC1RE625           Sad_Mult             0.630   0.010    0.0013152509    0.0328209449    0.9994603823
    135  QC1RPE629          Sad_Mult             0.630   0.000    0.0013146706    0.0328209559    0.9994603827
    136  ESRE630            Marker               0.630   0.000    0.0013146706    0.0328209559    0.9994603827
    137  QC1RPE631          Sad_Mult             0.630   0.000    0.0013140748    0.0328209686    0.9994603830
    138  QC1RE635           Sad_Mult             0.640   0.010    0.0013322708    0.0293776010    0.9995674973
    139  QC1RPE639          Sad_Mult             0.640   0.000    0.0013316635    0.0293776139    0.9995674977
    140  ESRE640            Marker               0.640   0.000    0.0013316635    0.0293776139    0.9995674977
    141  QC1RPE641          Sad_Mult             0.640   0.000    0.0013311622    0.0293776297    0.9995674979
    142  QC1RE645           Sad_Mult             0.650   0.010    0.0013493061    0.0250905195    0.9996842728
    143  QC1RPE649          Sad_Mult             0.650   0.000    0.0013487965    0.0250905355    0.9996842730
    144  ESRE650            Marker               0.650   0.000    0.0013487965    0.0250905355    0.9996842730
    145  QC1RPE651          Sad_Mult             0.650   0.000    0.0013486050    0.0250905565    0.9996842728
    146  QC1RE655           Sad_Mult             0.660   0.010    0.0013687751    0.0198807647    0.9998014211
    147  QC1RPE659          Sad_Mult             0.660   0.000    0.0013685811    0.0198807859    0.9998014210
    148  ESRE660            Marker               0.660   0.000    0.0013685811    0.0198807859    0.9998014210
    149  QC1RPE661          Sad_Mult             0.660   0.000    0.0013689904    0.0198808146    0.9998014198
    150  QC1RE665           Sad_Mult             0.670   0.010    0.0013946918    0.0137496076    0.9999044970
    151  QC1RPE669          Sad_Mult             0.670   0.000    0.0013951051    0.0137496366    0.9999044960
    152  ESRE670            Marker               0.670   0.000    0.0013951051    0.0137496366    0.9999044960
    153  QC1RPE671          Sad_Mult             0.670   0.000    0.0013963478    0.0137496731    0.9999044938
    154  QC1RE675           Sad_Mult             0.680   0.010    0.0014330614    0.0068429334    0.9999755600
    155  QC1RPE679          Sad_Mult             0.680   0.000    0.0014343116    0.0068429703    0.9999755580
    156  ESRE680            Marker               0.680   0.000    0.0014343116    0.0068429703    0.9999755580
    157  QC1RPE681          Sad_Mult             0.680   0.000    0.0014363010    0.0068430061    0.9999755549
    158  QC1RE685           Sad_Mult             0.690   0.010    0.0014919813   -0.0004982608    0.9999987629
    159  QC1RPE689          Sad_Mult             0.690   0.000    0.0014939743   -0.0004982247    0.9999987599
    160  ESRE690            Marker               0.690   0.000    0.0014939743   -0.0004982247    0.9999987599
    161  QC1RPE691          Sad_Mult             0.690   0.000    0.0014961382   -0.0004982153    0.9999987567
    162  QC1RE695           Sad_Mult             0.700   0.010    0.0015815405   -0.0077661047    0.9999685927
    163  QC1RPE699          Sad_Mult             0.700   0.000    0.0015836989   -0.0077660951    0.9999685893
    164  ESRE700            Marker               0.700   0.000    0.0015836989   -0.0077660951    0.9999685893
    165  QC1RPE701          Sad_Mult             0.700   0.000    0.0015852867   -0.0077661592    0.9999685863
    166  QC1RE705           Sad_Mult             0.710   0.010    0.0017143506   -0.0144364468    0.9998943194
    167  QC1RPE709          Sad_Mult             0.710   0.000    0.0017159279   -0.0144365102    0.9998943158
    168  ESRE710            Marker               0.710   0.000    0.0017159279   -0.0144365102    0.9998943158
    169  QC1RPE711          Sad_Mult             0.710   0.000    0.0017166162   -0.0144367195    0.9998943116
    170  QC1RE715           Sad_Mult             0.720   0.010    0.0019076849   -0.0201580642    0.9997949856
    171  QC1RPE719          Sad_Mult             0.720   0.000    0.0019083661   -0.0201582712    0.9997949801
    172  ESRE720            Marker               0.720   0.000    0.0019083661   -0.0201582712    0.9997949801
    173  QC1RPE721          Sad_Mult             0.720   0.000    0.0019083507   -0.0201587510    0.9997949705
    174  QC1RE725           Sad_Mult             0.730   0.010    0.0021869654   -0.0248184677    0.9996895822
    175  QC1RPE729          Sad_Mult             0.730   0.000    0.0021869504   -0.0248189410    0.9996895705
    176  ESRE730            Marker               0.730   0.000    0.0021869504   -0.0248189410    0.9996895705
    177  QC1RPE731          Sad_Mult             0.730   0.000    0.0021864884   -0.0248199410    0.9996895467
    178  QC1RE735           Sad_Mult             0.740   0.010    0.0025896165   -0.0284725778    0.9995912195
    179  QC1RPE739          Sad_Mult             0.740   0.000    0.0025891626   -0.0284735619    0.9995911927
    180  ESRE740            Marker               0.740   0.000    0.0025891626   -0.0284735619    0.9995911927
    181  QC1RPE741          Sad_Mult             0.740   0.000    0.0025883643   -0.0284755443    0.9995911383
    182  QC1RE745           Sad_Mult             0.750   0.010    0.0031674074   -0.0312675405    0.9995060322
    183  QC1RPE749          Sad_Mult             0.750   0.000    0.0031666257   -0.0312694873    0.9995059738
    184  ESRE750            Marker               0.750   0.000    0.0031666257   -0.0312694873    0.9995059738
    185  QC1RPE751          Sad_Mult             0.750   0.000    0.0031656220   -0.0312730718    0.9995058648
    186  QC1RE755           Sad_Mult             0.760   0.010    0.0039776934   -0.0334146552    0.9994336590
    187  QC1RPE759          Sad_Mult             0.760   0.000    0.0039767153   -0.0334181685    0.9994335454
    188  ESRE760            Marker               0.760   0.000    0.0039767153   -0.0334181685    0.9994335454
    189  QC1RPE761          Sad_Mult             0.760   0.000    0.0039757393   -0.0334237496    0.9994333627
    190  QC1RE765           Sad_Mult             0.770   0.010    0.0050553779   -0.0351531501    0.9993691506
    191  QC1RPE769          Sad_Mult             0.770   0.000    0.0050544350   -0.0351586111    0.9993689633
    192  ESRE770            Marker               0.770   0.000    0.0050544350   -0.0351586111    0.9993689633
    193  QC1RPE771          Sad_Mult             0.770   0.000    0.0050536985   -0.0351659725    0.9993687080
    194  QC1RE775           Sad_Mult             0.780   0.010    0.0063868999   -0.0366871292    0.9993063905
    195  QC1RPE779          Sad_Mult             0.780   0.000    0.0063862028   -0.0366943205    0.9993061309
    196  ESRE780            Marker               0.780   0.000    0.0063862028   -0.0366943205    0.9993061309
    197  QC1RPE781          Sad_Mult             0.780   0.000    0.0063857803   -0.0367027641    0.9993058235
    198  QC1RE785           Sad_Mult             0.790   0.010    0.0079156488   -0.0381397471    0.9992410631
    199  QC1RPE789          Sad_Mult             0.790   0.000    0.0079152716   -0.0381479816    0.9992407518
    200  ESRE790            Marker               0.790   0.000    0.0079152716   -0.0381479816    0.9992407518
    201  QC1RPE791          Sad_Mult             0.790   0.000    0.0079151177   -0.0381567811    0.9992404170
    202  QC1RE795           Sad_Mult             0.800   0.010    0.0095711141   -0.0395525007    0.9991716537
    203  QC1RPE799          Sad_Mult             0.800   0.000    0.0095710119   -0.0395610674    0.9991713155
    204  ESRE800            Marker               0.800   0.000    0.0095710119   -0.0395610674    0.9991713155
    205  QC1RPE801          Sad_Mult             0.800   0.000    0.0095710419   -0.0395697325    0.9991709721
    206  QC1RE805           Sad_Mult             0.810   0.010    0.0112926509   -0.0409124823    0.9990989164
    207  QC1RPE809          Sad_Mult             0.810   0.000    0.0112927400   -0.0409209028    0.9990985706
    208  ESRE810            Marker               0.810   0.000    0.0112927400   -0.0409209028    0.9990985706
    209  QC1RPE811          Sad_Mult             0.810   0.000    0.0112928811   -0.0409291768    0.9990982301
    210  QC1RE815           Sad_Mult             0.820   0.010    0.0130369600   -0.0421813806    0.9990249090
    211  QC1RPE819          Sad_Mult             0.820   0.000    0.0130371680   -0.0421894062    0.9990245674
    212  ESRE820            Marker               0.820   0.000    0.0130371680   -0.0421894062    0.9990245674
    213  QC1RPE821          Sad_Mult             0.820   0.000    0.0130373710   -0.0421971788    0.9990242365
    214  QC1RE825           Sad_Mult             0.830   0.010    0.0147758925   -0.0433154013    0.9989521755
    215  QC1RPE829          Sad_Mult             0.830   0.000    0.0147761704   -0.0433229265    0.9989518451
    216  ESRE830            Marker               0.830   0.000    0.0147761704   -0.0433229265    0.9989518451
    217  QC1RPE831          Sad_Mult             0.830   0.000    0.0147763991   -0.0433301642    0.9989515278
    218  QC1RE835           Sad_Mult             0.840   0.010    0.0164919501   -0.0442772948    0.9988831447
    219  QC1RPE839          Sad_Mult             0.840   0.000    0.0164922618   -0.0442842894    0.9988828295
    220  ESRE840            Marker               0.840   0.000    0.0164922618   -0.0442842894    0.9988828295
    221  QC1RPE841          Sad_Mult             0.840   0.000    0.0164924874   -0.0442909964    0.9988825284
    222  QC1RE845           Sad_Mult             0.850   0.010    0.0181745117   -0.0450448559    0.9988196274
    223  QC1RPE849          Sad_Mult             0.850   0.000    0.0181748285   -0.0450513264    0.9988193298
    224  ESRE850            Marker               0.850   0.000    0.0181748285   -0.0450513264    0.9988193298
    225  QC1RPE851          Sad_Mult             0.850   0.000    0.0181750344   -0.0450575246    0.9988190465
    226  QC1RE855           Sad_Mult             0.860   0.010    0.0198172986   -0.0456185450    0.9987623456
    227  QC1RPE859          Sad_Mult             0.860   0.000    0.0198176040   -0.0456245152    0.9987620669
    228  ESRE860            Marker               0.860   0.000    0.0198176040   -0.0456245152    0.9987620669
    229  QC1RPE861          Sad_Mult             0.860   0.000    0.0198178021   -0.0456302328    0.9987618017
    230  QC1RE865           Sad_Mult             0.870   0.010    0.0214168232   -0.0460271932    0.9987105773
    231  QC1RPE869          Sad_Mult             0.870   0.000    0.0214171281   -0.0460326923    0.9987103173
    232  ESRE870            Marker               0.870   0.000    0.0214171281   -0.0460326923    0.9987103173
    233  QC1RPE871          Sad_Mult             0.870   0.000    0.0214173721   -0.0460379551    0.9987100695
    234  QC1RE875           Sad_Mult             0.880   0.010    0.0229714772   -0.0463266274    0.9986621825
    235  QC1RPE879          Sad_Mult             0.880   0.000    0.0229718327   -0.0463316810    0.9986619399
    236  ESRE880            Marker               0.880   0.000    0.0229718327   -0.0463316810    0.9986619399
    237  QC1RPE881          Sad_Mult             0.880   0.000    0.0229722054   -0.0463365076    0.9986617074
    238  QC1RE885           Sad_Mult             0.890   0.010    0.0244809574   -0.0465850684    0.9986142970
    239  QC1RPE889          Sad_Mult             0.890   0.000    0.0244814421   -0.0465896935    0.9986140693
    240  ESRE890            Marker               0.890   0.000    0.0244814421   -0.0465896935    0.9986140693
    241  QC1RPE891          Sad_Mult             0.890   0.000    0.0244820128   -0.0465940974    0.9986138499
    242  QC1RE895           Sad_Mult             0.900   0.010    0.0259458080   -0.0468566323    0.9985646053
    243  QC1RPE899          Sad_Mult             0.900   0.000    0.0259464873   -0.0468608404    0.9985643902
    244  ESRE900            Marker               0.900   0.000    0.0259464873   -0.0468608404    0.9985643902
    245  QC1RPE901          Sad_Mult             0.900   0.000    0.0259472725   -0.0468648376    0.9985641822
    246  QC1RE905           Sad_Mult             0.910   0.010    0.0273670008   -0.0471566442    0.9985125428
    247  QC1RPE909          Sad_Mult             0.910   0.000    0.0273678892   -0.0471604497    0.9985123387
    248  ESRE910            Marker               0.910   0.000    0.0273678892   -0.0471604497    0.9985123387
    249  QC1RPE911          Sad_Mult             0.910   0.000    0.0273688506   -0.0471640645    0.9985121417
    250  QC1RE915           Sad_Mult             0.920   0.010    0.0287504269   -0.0474545067    0.9984595549
    251  QC1RPE919          Sad_Mult             0.920   0.000    0.0287514868   -0.0474579337    0.9984593615
    252  ESRE920            Marker               0.920   0.000    0.0287514868   -0.0474579337    0.9984593615
    253  QC1RPE921          Sad_Mult             0.920   0.000    0.0287525618   -0.0474611978    0.9984591754
    254  QC1RE925           Sad_Mult             0.930   0.010    0.0300927771   -0.0476850679    0.9984090139
    255  QC1RPE929          Sad_Mult             0.930   0.000    0.0300939482   -0.0476881492    0.9984088314
    256  ESRE930            Marker               0.930   0.000    0.0300939482   -0.0476881492    0.9984088314
    257  QC1RPE931          Sad_Mult             0.930   0.000    0.0300950797   -0.0476910979    0.9984086565
    258  QC1RE935           Sad_Mult             0.940   0.010    0.0313945886   -0.0477695828    0.9983648866
    259  QC1RPE939          Sad_Mult             0.940   0.000    0.0313958163   -0.0477723553    0.9983647153
    260  ESRE940            Marker               0.940   0.000    0.0313958163   -0.0477723553    0.9983647153
    261  QC1RPE941          Sad_Mult             0.940   0.000    0.0313969631   -0.0477750244    0.9983645515
    262  QC1RE945           Sad_Mult             0.950   0.010    0.0326563379   -0.0476344118    0.9983308702
    263  QC1RPE949          Sad_Mult             0.950   0.000    0.0326575832   -0.0476369130    0.9983307101
    264  ESRE950            Marker               0.950   0.000    0.0326575832   -0.0476369130    0.9983307101
    265  QC1RPE951          Sad_Mult             0.950   0.000    0.0326587200   -0.0476393378    0.9983305572
    266  QC1RE955           Sad_Mult             0.960   0.010    0.0338783634   -0.0472249452    0.9983096018
    267  QC1RPE959          Sad_Mult             0.960   0.000    0.0338796024   -0.0472272122    0.9983094525
    268  ESRE960            Marker               0.960   0.000    0.0338796024   -0.0472272122    0.9983094525
    269  QC1RPE961          Sad_Mult             0.960   0.000    0.0338807193   -0.0472294254    0.9983093099
    270  QC1RE965           Sad_Mult             0.970   0.010    0.0350608464   -0.0465153165    0.9983020897
    271  QC1RPE969          Sad_Mult             0.970   0.000    0.0350620700   -0.0465173834    0.9983019505
    272  ESRE970            Marker               0.970   0.000    0.0350620700   -0.0465173834    0.9983019505
    273  QC1RPE971          Sad_Mult             0.970   0.000    0.0350631764   -0.0465194092    0.9983018172
    274  QC1RE975           Sad_Mult             0.980   0.010    0.0362038399   -0.0455141157    0.9983074412
    275  QC1RPE979          Sad_Mult             0.980   0.000    0.0362050569   -0.0455160074    0.9983073109
    276  ESRE980            Marker               0.980   0.000    0.0362050569   -0.0455160074    0.9983073109
    277  QC1RPE981          Sad_Mult             0.980   0.000    0.0362061828   -0.0455178535    0.9983071859
    278  QC1RE985           Sad_Mult             0.990   0.010    0.0373072988   -0.0442629409    0.9983230727
    279  QC1RPE989          Sad_Mult             0.990   0.000    0.0373085371   -0.0442646641    0.9983229500
    280  ESRE990            Marker               0.990   0.000    0.0373085371   -0.0442646641    0.9983229500
    281  QC1RPE991          Sad_Mult             0.990   0.000    0.0373097221   -0.0442663200    0.9983228323
    282  QC1RE995           Sad_Mult             1.000   0.010    0.0383710522   -0.0428230811    0.9983455544
    283  QC1RPE999          Sad_Mult             1.000   0.000    0.0383723479   -0.0428246233    0.9983454385
    284  ESRE1000           Marker               1.000   0.000    0.0383723479   -0.0428246233    0.9983454385
    285  QC1RPE1001         Sad_Mult             1.000   0.000    0.0383736180   -0.0428260741    0.9983453274
    286  QC1RE1005          Sad_Mult             1.010   0.010    0.0393946662   -0.0412519866    0.9983718415
    287  QC1RPE1009         Sad_Mult             1.010   0.000    0.0393960427   -0.0412533305    0.9983717316
    288  ESRE1010           Marker               1.010   0.000    0.0393960427   -0.0412533305    0.9983717316
    289  QC1RPE1011         Sad_Mult             1.010   0.000    0.0393973940   -0.0412545792    0.9983716267
    290  QC1RE1015          Sad_Mult             1.020   0.010    0.0403772075   -0.0395828299    0.9984001606
    291  QC1RPE1019         Sad_Mult             1.020   0.000    0.0403786600   -0.0395839777    0.9984000563
    292  ESRE1020           Marker               1.020   0.000    0.0403786600   -0.0395839777    0.9984000563
    293  QC1RPE1021         Sad_Mult             1.020   0.000    0.0403800642   -0.0395850532    0.9983999569
    294  QC1RE1025          Sad_Mult             1.030   0.010    0.0413169794   -0.0378219235    0.9984299722
    295  QC1RPE1029         Sad_Mult             1.030   0.000    0.0413184811   -0.0378229054    0.9984298728
    296  ESRE1030           Marker               1.030   0.000    0.0413184811   -0.0378229054    0.9984298728
    297  QC1RPE1031         Sad_Mult             1.030   0.000    0.0413199059   -0.0378238485    0.9984297781
    298  QC1RE1035          Sad_Mult             1.040   0.010    0.0422113041   -0.0359640222    0.9984612135
    299  QC1RPE1039         Sad_Mult             1.040   0.000    0.0422128243   -0.0359648810    0.9984611183
    300  ESRE1040           Marker               1.040   0.000    0.0422128243   -0.0359648810    0.9984611183
    301  QC1RPE1041         Sad_Mult             1.040   0.000    0.0422142478   -0.0359657226    0.9984610278
